year_month,total_crimes,violent_crimes,property_crimes,drug_crimes,arrest_rate,domestic_rate,avg_latitude,avg_longitude,unique_locations,top_crime_type,total_districts
2023-01-01,21053,5923,10614,509,0.1244,0.1774,41.84383297308835,-87.66775620278611,11043,THEFT,23
2023-02-01,18357,5265,8884,522,0.1362,0.1794,41.84435929566553,-87.66880457592946,10159,THEFT,23
2023-03-01,20665,5995,10156,428,0.1263,0.1764,41.84591057289417,-87.66941737904264,10890,THEFT,23
2023-04-01,20684,6346,10090,341,0.1191,0.1898,41.84462536957329,-87.66858161668667,11000,THEFT,23
2023-05-01,22152,6968,10813,343,0.119,0.1844,41.845387954541174,-87.66939889141455,11468,THEFT,23
2023-06-01,22648,6882,11301,401,0.119,0.1838,41.8466941774241,-87.66856790998689,11696,THEFT,23
2023-07-01,23971,7482,11861,428,0.1199,0.1888,41.84589686552701,-87.66784545131087,12161,THEFT,23
2023-08-01,24139,7598,11889,469,0.1189,0.1724,41.84840955289801,-87.66793780188421,12192,THEFT,22
2023-09-01,22594,7359,10893,406,0.1188,0.1758,41.84843240630172,-87.66900632324166,11684,THEFT,22
2023-10-01,23031,7206,11510,452,0.1178,0.1696,41.84697961813391,-87.66896314351244,11952,THEFT,23
2023-11-01,21368,6461,10635,492,0.122,0.1718,41.84812823114934,-87.66969443855241,11134,THEFT,23
2023-12-01,20583,6281,10404,431,0.1216,0.1779,41.84899832615406,-87.66958839771506,10839,THEFT,23
2024-01-01,19513,5866,9221,538,0.1517,0.1853,41.84786685997453,-87.66897542481689,10365,THEFT,23
2024-02-01,19881,6022,9372,559,0.1447,0.1813,41.847437386102364,-87.66953532595362,10462,THEFT,22
2024-03-01,20854,6462,9877,550,0.1426,0.1836,41.847501401417,-87.66968417171833,10844,THEFT,22
2024-04-01,20349,6637,9440,436,0.1324,0.1893,41.84749891253737,-87.66885792164278,10691,THEFT,23
2024-05-01,22215,7459,10277,415,0.1271,0.1915,41.84706559776903,-87.6684221972109,11147,THEFT,22
2024-06-01,23122,7367,11176,443,0.1264,0.1862,41.84742747383055,-87.66932897896636,11647,THEFT,22
2024-07-01,24043,7342,11880,535,0.1416,0.1822,41.84673049942249,-87.66869925685255,11753,THEFT,23
2024-08-01,22944,6874,11575,444,0.1316,0.1724,41.84769456865254,-87.66796817655674,11417,THEFT,23
2024-09-01,22919,7231,11054,428,0.1319,0.1815,41.84784099065583,-87.66902453734333,11552,THEFT,23
2024-10-01,22434,7016,11102,508,0.1325,0.1757,41.8472988831857,-87.66851868508813,11154,THEFT,22
2024-11-01,19691,6062,9638,573,0.1473,0.1819,41.84865389757727,-87.66915929186841,10398,THEFT,23
2024-12-01,19541,5997,9567,533,0.1491,0.1955,41.847541999237244,-87.6693532975817,10347,THEFT,23
