type,path,year,month,exists,rows,h3_r7,h3_r8,h3_r9,res
l2,data/l2/year=2018/month=01/features-2018-01.parquet,2018,01,True,20227,True,True,True,
l2,data/l2/year=2018/month=02/features-2018-02.parquet,2018,02,True,17171,True,True,True,
l2,data/l2/year=2018/month=03/features-2018-03.parquet,2018,03,True,21043,True,True,True,
l2,data/l2/year=2018/month=04/features-2018-04.parquet,2018,04,True,20932,True,True,True,
l2,data/l2/year=2018/month=05/features-2018-05.parquet,2018,05,True,24466,True,True,True,
l2,data/l2/year=2018/month=06/features-2018-06.parquet,2018,06,True,23914,True,True,True,
l2,data/l2/year=2018/month=07/features-2018-07.parquet,2018,07,True,24859,True,True,True,
l2,data/l2/year=2018/month=08/features-2018-08.parquet,2018,08,True,24936,True,True,True,
l2,data/l2/year=2018/month=09/features-2018-09.parquet,2018,09,True,22579,True,True,True,
l2,data/l2/year=2018/month=10/features-2018-10.parquet,2018,10,True,22319,True,True,True,
l2,data/l2/year=2018/month=11/features-2018-11.parquet,2018,11,True,20084,True,True,True,
l2,data/l2/year=2018/month=12/features-2018-12.parquet,2018,12,True,21029,True,True,True,
l2,data/l2/year=2019/month=01/features-2019-01.parquet,2019,01,True,19552,True,True,True,
l2,data/l2/year=2019/month=02/features-2019-02.parquet,2019,02,True,18286,True,True,True,
l2,data/l2/year=2019/month=03/features-2019-03.parquet,2019,03,True,20324,True,True,True,
l2,data/l2/year=2019/month=04/features-2019-04.parquet,2019,04,True,20912,True,True,True,
l2,data/l2/year=2019/month=05/features-2019-05.parquet,2019,05,True,23538,True,True,True,
l2,data/l2/year=2019/month=06/features-2019-06.parquet,2019,06,True,23476,True,True,True,
l2,data/l2/year=2019/month=07/features-2019-07.parquet,2019,07,True,24702,True,True,True,
l2,data/l2/year=2019/month=08/features-2019-08.parquet,2019,08,True,24246,True,True,True,
l2,data/l2/year=2019/month=09/features-2019-09.parquet,2019,09,True,22284,True,True,True,
l2,data/l2/year=2019/month=10/features-2019-10.parquet,2019,10,True,21542,True,True,True,
l2,data/l2/year=2019/month=11/features-2019-11.parquet,2019,11,True,19743,True,True,True,
l2,data/l2/year=2019/month=12/features-2019-12.parquet,2019,12,True,20567,True,True,True,
l2,data/l2/year=2020/month=01/features-2020-01.parquet,2020,01,True,19654,True,True,True,
l2,data/l2/year=2020/month=02/features-2020-02.parquet,2020,02,True,18018,True,True,True,
l2,data/l2/year=2020/month=03/features-2020-03.parquet,2020,03,True,16526,True,True,True,
l2,data/l2/year=2020/month=04/features-2020-04.parquet,2020,04,True,12716,True,True,True,
l2,data/l2/year=2020/month=05/features-2020-05.parquet,2020,05,True,17329,True,True,True,
l2,data/l2/year=2020/month=06/features-2020-06.parquet,2020,06,True,17386,True,True,True,
l2,data/l2/year=2020/month=07/features-2020-07.parquet,2020,07,True,19300,True,True,True,
l2,data/l2/year=2020/month=08/features-2020-08.parquet,2020,08,True,19585,True,True,True,
l2,data/l2/year=2020/month=09/features-2020-09.parquet,2020,09,True,17585,True,True,True,
l2,data/l2/year=2020/month=10/features-2020-10.parquet,2020,10,True,18029,True,True,True,
l2,data/l2/year=2020/month=11/features-2020-11.parquet,2020,11,True,16127,True,True,True,
l2,data/l2/year=2020/month=12/features-2020-12.parquet,2020,12,True,15712,True,True,True,
l2,data/l2/year=2021/month=01/features-2021-01.parquet,2021,01,True,15927,True,True,True,
l2,data/l2/year=2021/month=02/features-2021-02.parquet,2021,02,True,12817,True,True,True,
l2,data/l2/year=2021/month=03/features-2021-03.parquet,2021,03,True,15647,True,True,True,
l2,data/l2/year=2021/month=04/features-2021-04.parquet,2021,04,True,15195,True,True,True,
l2,data/l2/year=2021/month=05/features-2021-05.parquet,2021,05,True,17425,True,True,True,
l2,data/l2/year=2021/month=06/features-2021-06.parquet,2021,06,True,18421,True,True,True,
l2,data/l2/year=2021/month=07/features-2021-07.parquet,2021,07,True,18787,True,True,True,
l2,data/l2/year=2021/month=08/features-2021-08.parquet,2021,08,True,18100,True,True,True,
l2,data/l2/year=2021/month=09/features-2021-09.parquet,2021,09,True,18837,True,True,True,
l2,data/l2/year=2021/month=10/features-2021-10.parquet,2021,10,True,18839,True,True,True,
l2,data/l2/year=2021/month=11/features-2021-11.parquet,2021,11,True,16834,True,True,True,
l2,data/l2/year=2021/month=12/features-2021-12.parquet,2021,12,True,16045,True,True,True,
l2,data/l2/year=2022/month=01/features-2022-01.parquet,2022,01,True,15320,True,True,True,
l2,data/l2/year=2022/month=02/features-2022-02.parquet,2022,02,True,14909,True,True,True,
l2,data/l2/year=2022/month=03/features-2022-03.parquet,2022,03,True,17930,True,True,True,
